CustomerID,total_orders,total_items,total_spend,avg_order_value,unique_products,first_purchase,last_purchase,days_since_last,customer_lifespan_days
12346,1,36,37.44,37.44,1,2011-01-18 10:01:00,2011-01-18 10:01:00,327,0
12347,7,2242,4015.21,22.061593406593406,103,2010-07-12 14:57:00,2011-10-31 12:25:00,41,475
12348,4,905,732.62,23.63290322580645,22,2010-12-16 19:09:00,2011-09-25 13:13:00,77,282
12349,1,631,1389.15,19.029452054794522,73,2011-11-21 09:51:00,2011-11-21 09:51:00,20,0
12350,1,197,302.9,17.81764705882353,17,2011-02-02 16:01:00,2011-02-02 16:01:00,312,0
12352,8,536,1436.44,16.89929411764706,59,2011-01-03 14:57:00,2011-09-28 14:58:00,74,268
12353,1,20,80.30000000000001,20.075000000000003,4,2011-05-19 17:47:00,2011-05-19 17:47:00,205,0
12354,1,530,1036.45,17.8698275862069,58,2011-04-21 13:11:00,2011-04-21 13:11:00,234,0
12355,1,156,343.0,26.384615384615383,13,2011-09-05 13:49:00,2011-09-05 13:49:00,97,0
12356,3,1227,2294.78,38.894576271186445,53,2011-01-18 09:50:00,2011-11-17 08:40:00,24,302
12357,1,2396,5593.41,42.697786259541985,131,2011-06-11 16:07:00,2011-06-11 16:07:00,183,0
12358,2,248,977.96,51.47157894736842,13,2011-08-12 10:26:00,2011-12-07 10:04:00,4,116
12359,4,1622,4775.95,19.257862903225806,214,2011-03-06 12:26:00,2011-12-01 12:43:00,10,270
12360,3,1165,2211.76,17.145426356589148,105,2011-05-23 09:43:00,2011-10-18 15:22:00,54,148
12361,1,91,183.4,18.34,10,2011-02-25 13:51:00,2011-02-25 13:51:00,289,0
12362,10,2229,4906.74,18.44639097744361,201,2011-02-17 10:30:00,2011-11-10 14:33:00,31,266
12363,2,408,552.0,24.0,23,2011-08-22 10:18:00,2011-11-04 13:29:00,37,74
12364,4,1362,1213.02,14.270823529411764,70,2011-02-12 10:22:00,2011-10-30 15:43:00,42,260
12365,2,174,324.94,14.77,22,2011-02-21 13:51:00,2011-02-21 14:04:00,293,0
12367,1,149,161.92,14.719999999999999,11,2011-05-12 16:48:00,2011-05-12 16:48:00,213,0
12370,4,1713,3199.69,19.159820359281436,143,2010-12-14 12:58:00,2011-10-19 14:51:00,53,309
12371,2,591,1586.02,25.174920634920635,63,2011-10-26 10:16:00,2011-11-10 10:43:00,31,15
12372,3,794,1247.04,23.98153846153846,34,2011-02-16 12:46:00,2011-11-05 10:43:00,36,261
12373,1,197,333.1,23.792857142857144,14,2011-01-02 13:10:00,2011-01-02 13:10:00,343,0
12374,1,342,623.03,18.87969696969697,33,2011-11-14 15:37:00,2011-11-14 15:37:00,27,0
12375,2,178,394.5,23.205882352941178,14,2011-02-09 14:23:00,2011-11-29 10:36:00,12,292
12377,2,944,1561.46,20.2787012987013,72,2010-12-20 09:37:00,2011-01-28 15:45:00,317,39
12378,1,2241,3872.62,17.683196347031963,219,2011-02-08 10:34:00,2011-02-08 10:34:00,306,0
12379,2,395,809.54,20.2385,39,2011-06-22 16:32:00,2011-09-19 10:09:00,83,88
12380,4,1091,2382.05,22.904326923076926,77,2011-07-06 09:49:00,2011-11-18 11:27:00,23,135
12381,5,808,1532.58,17.615862068965516,70,2011-05-12 12:44:00,2011-12-10 11:30:00,1,211
12383,5,1324,1665.74,16.825656565656566,84,2010-12-22 14:28:00,2011-12-01 14:10:00,10,343
12384,2,126,445.22,16.48962962962963,26,2011-10-08 11:23:00,2011-11-11 08:39:00,30,33
12386,2,202,306.42,30.642000000000003,10,2010-08-12 09:53:00,2011-06-01 12:37:00,193,293
12388,6,1316,2699.5,26.995,57,2011-01-17 11:12:00,2011-11-24 12:30:00,17,311
12390,1,353,507.64,15.86375,32,2011-09-21 09:33:00,2011-09-21 09:33:00,81,0
12391,1,300,458.07,4.5807,92,2011-11-18 12:07:00,2011-11-18 12:07:00,23,0
12393,4,804,1547.2,24.175,47,2011-01-14 11:36:00,2011-11-01 09:47:00,40,290
12394,2,367,773.92,28.663703703703703,26,2011-06-05 14:01:00,2011-07-10 08:08:00,154,34
12395,12,1666,2524.23,16.18096153846154,91,2010-03-12 16:35:00,2011-12-05 10:15:00,6,632
12397,2,1263,2203.87,17.491031746031744,110,2011-04-11 09:52:00,2011-07-27 14:21:00,137,107
12398,1,1394,1485.36,17.474823529411765,85,2011-10-25 10:27:00,2011-10-25 10:27:00,47,0
12399,4,1022,983.15,16.663559322033898,47,2011-03-23 09:42:00,2011-12-08 13:15:00,3,260
12401,1,11,66.85,13.37,5,2011-09-02 13:50:00,2011-09-02 13:50:00,100,0
12402,1,94,212.6,19.327272727272728,11,2011-01-20 13:49:00,2011-01-20 13:49:00,325,0
12403,1,92,392.1,78.42,5,2011-10-21 10:51:00,2011-10-21 10:51:00,51,0
12405,1,773,1444.5900000000001,26.75166666666667,54,2011-07-14 08:52:00,2011-07-14 08:52:00,150,0
12406,2,1742,3251.58,30.96742857142857,92,2011-09-06 10:23:00,2011-11-17 19:22:00,23,72
12407,5,1092,1476.17,19.171038961038963,57,2011-03-20 13:21:00,2011-10-21 10:11:00,51,214
12408,5,1305,2558.23,24.36409523809524,81,2011-02-09 10:27:00,2011-07-11 12:27:00,153,152
12409,3,3113,7704.2300000000005,70.68100917431192,91,2011-09-21 14:15:00,2011-10-06 12:19:00,66,14
12410,2,211,558.83,21.49346153846154,26,2011-04-02 10:38:00,2011-04-02 10:39:00,253,0
12412,3,805,1189.94,19.507213114754098,43,2011-06-23 13:51:00,2011-09-26 10:16:00,76,94
12413,3,286,694.4,18.273684210526316,29,2011-04-10 09:00:00,2011-06-01 16:12:00,193,52
12414,3,276,452.67,25.148333333333333,16,2011-02-02 14:51:00,2011-06-05 14:51:00,189,123
12415,21,22132,47505.14,66.53380952380952,444,2011-01-04 14:28:00,2011-11-15 14:22:00,26,314
12417,9,1512,3191.88,16.624375,158,2010-12-17 11:51:00,2011-10-31 16:02:00,41,318
12418,1,395,666.88,19.614117647058823,34,2011-08-19 11:08:00,2011-08-19 11:08:00,114,0
12420,1,273,567.64,19.573793103448274,29,2011-07-10 08:55:00,2011-07-10 08:55:00,154,0
12421,4,472,682.19,15.159777777777778,32,2011-01-24 15:09:00,2011-11-24 09:07:00,17,303
12422,3,370,696.3100000000001,17.854102564102565,39,2011-01-19 09:13:00,2011-06-24 13:20:00,170,156
12423,8,1339,1751.21,14.00968,97,2010-12-21 10:54:00,2011-09-12 10:10:00,90,264
12424,2,568,1443.28,48.10933333333333,30,2011-06-30 12:06:00,2011-06-30 12:06:00,164,0
12425,1,468,733.7,20.380555555555556,36,2011-09-22 17:31:00,2011-09-22 17:31:00,79,0
12426,1,258,544.28,18.142666666666667,30,2011-05-29 12:26:00,2011-05-29 12:26:00,196,0
12427,3,281,713.94,23.030322580645162,26,2010-03-12 10:44:00,2011-11-18 08:56:00,23,615
12428,9,3464,6478.93,22.0371768707483,258,2011-01-03 09:33:00,2011-11-14 08:22:00,27,314
12429,4,1425,3365.0,34.69072164948454,82,2010-09-12 12:05:00,2011-11-30 17:22:00,10,444
12430,1,117,211.1,19.19090909090909,11,2011-10-27 15:09:00,2011-10-27 15:09:00,45,0
12431,15,2148,5172.35,22.01,163,2010-01-12 10:03:00,2011-12-08 14:19:00,3,695
12432,5,1585,3835.2400000000002,35.51148148148148,107,2011-06-20 13:27:00,2011-10-28 11:43:00,44,129
12433,7,8245,11790.65,28.07297619047619,219,2010-01-12 13:24:00,2011-11-30 14:05:00,11,687
12434,2,394,803.6,16.072,46,2011-03-24 13:05:00,2011-09-16 12:38:00,86,175
12435,2,1172,5254.0,145.94444444444446,31,2011-03-17 07:40:00,2011-09-21 09:06:00,81,188
12436,1,211,446.01000000000005,27.875625000000003,16,2011-01-09 12:09:00,2011-01-09 12:09:00,336,0
12437,18,2702,4307.72,21.646834170854273,118,2011-02-02 15:22:00,2011-12-01 14:13:00,10,301
12438,2,1168,2547.3,25.992857142857144,84,2011-07-22 13:29:00,2011-11-25 13:28:00,16,125
12441,1,121,164.05,14.913636363636364,11,2010-08-12 10:45:00,2010-08-12 10:45:00,486,0
12442,1,182,155.08,12.923333333333334,12,2011-06-12 14:22:00,2011-06-12 14:22:00,182,0
12444,5,1153,3864.46,21.95715909090909,138,2011-06-21 14:00:00,2011-12-10 12:08:00,1,171
12445,1,62,94.4,23.6,4,2011-11-17 18:43:00,2011-11-17 18:43:00,23,0
12446,1,351,945.36,16.585263157894737,57,2011-10-13 12:50:00,2011-10-13 12:50:00,59,0
12447,1,190,454.09,17.465,26,2011-10-04 13:25:00,2011-10-04 13:25:00,68,0
12448,1,243,340.69,15.485909090909091,22,2011-10-26 13:46:00,2011-10-26 13:46:00,46,0
12449,4,1553,3850.16,20.157905759162304,118,2011-02-08 09:14:00,2011-11-17 13:46:00,24,282
12450,2,124,191.28,23.91,7,2011-06-07 14:41:00,2011-06-19 14:36:00,175,11
12451,5,5942,8330.79,23.533305084745766,265,2011-01-19 09:05:00,2011-11-29 08:40:00,12,313
12452,2,185,367.57,16.707727272727272,21,2011-11-23 08:05:00,2011-11-23 10:28:00,18,0
12453,1,473,707.09,16.443953488372095,43,2011-07-28 14:08:00,2011-07-28 14:08:00,136,0
12454,1,458,2078.68,138.57866666666666,15,2011-10-14 17:13:00,2011-10-14 17:13:00,58,0
12455,6,1449,1945.72,21.61911111111111,85,2011-02-16 09:56:00,2011-09-27 15:31:00,75,223
12456,3,1573,2627.98,21.02384,105,2011-03-30 09:12:00,2011-10-26 14:41:00,46,210
12457,7,715,1808.71,29.17274193548387,53,2011-04-10 13:13:00,2011-09-19 09:04:00,83,161
12458,2,470,821.4,21.61578947368421,35,2011-02-28 10:55:00,2011-09-29 15:25:00,73,213
12461,2,287,675.98,19.313714285714287,35,2011-06-09 16:57:00,2011-08-07 10:23:00,126,58
12462,2,512,973.74,15.705483870967742,51,2011-09-02 14:44:00,2011-11-21 09:11:00,20,79
12463,4,776,1257.74,15.153493975903615,65,2011-05-17 10:02:00,2011-12-04 12:47:00,7,201
12464,8,112,773.5,26.67241379310345,6,2011-02-28 12:08:00,2011-11-29 13:33:00,12,274
12465,2,467,703.09,14.95936170212766,46,2011-06-23 13:37:00,2011-11-22 16:34:00,19,152
12468,2,366,675.89,17.786578947368422,36,2011-01-27 13:29:00,2011-05-06 11:36:00,219,98
12471,30,7202,15450.98,33.58908695652174,150,2010-10-12 09:35:00,2011-11-29 13:01:00,12,413
12472,7,4112,6137.89,18.105870206489676,219,2010-05-12 14:19:00,2011-10-19 11:49:00,53,524
12473,5,2271,2741.98,16.321309523809525,140,2011-01-06 10:15:00,2011-10-17 11:27:00,55,284
12474,18,4739,6983.86,16.471367924528302,253,2011-01-14 10:06:00,2011-12-07 10:25:00,4,327
12475,1,435,690.88,19.191111111111113,36,2011-10-17 10:10:00,2011-10-17 10:10:00,55,0
12476,11,2364,5859.15,25.14656652360515,177,2010-12-13 14:39:00,2011-11-24 12:40:00,17,345
12477,6,3361,11942.44,39.80813333333334,191,2011-04-14 13:59:00,2011-11-17 09:51:00,24,216
12478,1,236,571.49,15.874722222222223,36,2011-06-12 09:56:00,2011-06-12 09:56:00,182,0
12479,1,385,499.87,16.12483870967742,31,2011-11-28 13:26:00,2011-11-28 13:26:00,13,0
12480,4,1515,2774.5,18.016233766233768,129,2011-03-17 13:23:00,2011-11-11 14:52:00,30,239
12481,10,3105,4918.9,22.667741935483868,150,2010-09-12 10:13:00,2011-11-17 08:29:00,24,430
12483,8,1074,2021.0600000000002,26.94746666666667,46,2011-02-09 11:42:00,2011-11-22 17:02:00,19,286
12484,6,2155,4028.29,11.642456647398843,256,2011-04-11 15:18:00,2011-08-31 09:44:00,102,141
12488,3,529,1191.54,21.664363636363635,46,2011-09-25 10:34:00,2011-11-30 08:50:00,11,65
12489,1,105,292.33,19.488666666666667,15,2011-07-01 13:13:00,2011-07-01 13:13:00,163,0
12490,10,2956,4943.93,20.17930612244898,131,2011-01-14 09:13:00,2011-11-22 11:19:00,19,312
12491,1,224,416.65000000000003,16.025000000000002,25,2011-01-11 12:18:00,2011-01-11 12:18:00,334,0
12492,2,192,244.21,12.2105,19,2011-07-10 15:15:00,2011-08-26 14:51:00,107,46
12493,2,207,396.79,18.03590909090909,20,2011-05-26 14:53:00,2011-06-27 10:17:00,167,31
12494,7,707,1140.91,14.817012987012989,63,2010-09-12 11:31:00,2011-11-24 09:34:00,17,437
12497,1,461,422.54,30.181428571428572,14,2011-09-19 12:29:00,2011-09-19 12:29:00,83,0
12498,3,159,375.20000000000005,16.313043478260873,21,2011-10-13 09:30:00,2011-11-18 12:53:00,23,36
12500,11,1030,2035.03,33.36114754098361,34,2011-02-17 12:23:00,2011-11-16 16:20:00,25,272
12501,1,1747,2123.98,14.25489932885906,149,2011-07-01 12:28:00,2011-07-01 12:28:00,163,0
12502,5,808,2928.92,19.924625850340135,102,2011-03-02 10:41:00,2011-06-05 08:19:00,189,94
12504,2,90,417.0,46.333333333333336,6,2011-09-11 14:56:00,2011-11-21 16:02:00,20,71
12506,1,23,73.5,3.1956521739130435,23,2011-04-21 08:54:00,2011-04-21 08:54:00,234,0
12507,3,406,664.77,31.655714285714286,19,2011-02-14 09:24:00,2011-07-28 17:09:00,136,164
12508,2,272,403.03000000000003,5.841014492753624,57,2011-10-11 16:27:00,2011-11-13 15:37:00,28,32
12509,1,55,167.0,23.857142857142858,7,2011-02-28 14:45:00,2011-02-28 14:45:00,286,0
12510,2,341,824.89,24.996666666666666,29,2011-01-18 14:04:00,2011-07-20 10:15:00,144,182
12512,2,99,138.03,4.059705882352941,31,2011-04-10 14:53:00,2011-04-10 14:55:00,245,0
12513,1,462,571.04,16.31542857142857,35,2011-08-19 10:51:00,2011-08-19 10:51:00,114,0
12514,1,440,980.38,19.22313725490196,51,2011-03-17 16:38:00,2011-03-17 16:38:00,269,0
12515,1,131,284.3,17.76875,16,2010-12-21 15:43:00,2010-12-21 15:43:00,355,0
12516,2,649,997.3,38.357692307692304,20,2011-09-23 09:13:00,2011-12-06 11:37:00,5,74
12517,5,1371,2406.39,8.473204225352113,232,2011-02-06 15:13:00,2011-11-11 14:04:00,30,277
12518,5,1318,1937.0900000000001,15.621693548387098,84,2011-08-21 13:18:00,2011-12-10 10:36:00,1,110
12519,1,183,312.34,17.35222222222222,17,2011-07-10 09:26:00,2011-07-10 09:26:00,154,0
12520,5,1439,2421.34,15.929868421052632,121,2011-03-25 08:50:00,2011-11-03 11:35:00,38,223
12521,1,309,564.73,14.861315789473684,38,2011-07-20 10:51:00,2011-07-20 10:51:00,144,0
12522,2,130,184.84,15.403333333333334,11,2011-10-19 14:41:00,2011-10-31 15:30:00,41,12
12523,11,853,1663.73,15.69556603773585,84,2011-01-04 09:19:00,2011-12-01 09:43:00,10,331
12524,8,2591,3580.59,24.865208333333335,113,2011-01-05 13:18:00,2011-11-30 15:31:00,11,329
12526,3,632,1224.52,17.24676056338028,64,2011-06-09 14:19:00,2011-10-17 09:37:00,55,129
12527,3,234,339.21000000000004,18.845000000000002,18,2011-01-18 12:05:00,2011-09-19 11:55:00,83,243
12528,6,756,1686.93,18.336195652173913,50,2011-01-31 09:05:00,2011-11-30 14:40:00,11,303
12530,4,791,1445.98,21.90878787878788,51,2011-04-20 09:31:00,2011-11-10 12:34:00,31,204
12531,1,45,103.77,6.104117647058823,17,2011-11-25 11:12:00,2011-11-25 11:12:00,16,0
12532,1,153,331.55,20.721875,16,2011-09-11 13:47:00,2011-09-11 13:47:00,91,0
12534,1,651,1004.53,15.944920634920635,63,2011-01-08 10:26:00,2011-01-08 10:26:00,337,0
12535,2,219,712.75,20.96323529411765,28,2011-06-06 12:47:00,2011-09-09 08:48:00,93,94
12536,3,2779,4190.35,16.054980842911878,260,2011-10-27 14:13:00,2011-11-10 14:52:00,31,14
